"code","name","value"
"AGB","Agin-Buryat Okrug",""
"ALT","Altai Krai",""
"AL","Altai Republic",""
"AMU","Amur Oblast",""
"ARK","Arkhangelsk Oblast",""
"AST","Astrakhan Oblast",""
"BEL","Belgorod Oblast",""
"BRY","Bryansk Oblast",""
"CE","Chechen Republic",""
"CHE","Chelyabinsk Oblast",""
"CHU","Chukotka Autonomous Okrug",""
"CU","Chuvash Republic",""
"EVE","Evenkiysky District",""
"IRK","Irkutsk Oblast",""
"IVA","Ivanovo Oblast",""
"YEV","Jewish Autonomous Oblast",""
"KB","Kabardino-Balkar Republic",""
"KGD","Kaliningrad Oblast",""
"KLU","Kaluga Oblast",""
"KAM","Kamchatka Krai",""
"KC","Karachay-Cherkess Republic",""
"KEM","Kemerovo Oblast",""
"KHA","Khabarovsk Krai",""
"KHM","Khantyâ€“Mansi Autonomous Okrug",""
"KIR","Kirov Oblast",""
"KO","Komi Republic",""
"KOP","Komi-Permyak Okrug",""
"KOR","Koryak Okrug",""
"KOS","Kostroma Oblast",""
"KDA","Krasnodar Krai",""
"KYA","Krasnoyarsk Krai",""
"KGN","Kurgan Oblast",""
"KRS","Kursk Oblast",""
"LEN","Leningrad Oblast",""
"LIP","Lipetsk Oblast",""
"MAG","Magadan Oblast",""
"ME","Mari El Republic",""
"MOS","Moscow Oblast",""
"MUR","Murmansk Oblast",""
"NEN","Nenets Autonomous Okrug",""
"NIZ","Nizhny Novgorod Oblast",""
"SE","North Republic of North Ossetia-Alania",""
"NGR","Novgorod Oblast",""
"NVS","Novosibirsk Oblast",""
"OMS","Omsk Oblast",""
"ORE","Orenburg Oblast",""
"ORL","Oryol Oblast",""
"PNZ","Penza Oblast",""
"PER","Perm Krai",""
"PRI","Primorsky Krai",""
"PSK","Pskov Oblast",""
"AD","Republic of Adygea",""
"BA","Republic of Bashkortostan",""
"BU","Republic of Buryatia",""
"DA","Republic of Dagestan",""
"IN","Republic of Ingushetia",""
"KL","Republic of Kalmykia",""
"KR","Republic of Karelia",""
"KK","Republic of Khakassia",""
"MO","Republic of Mordovia",""
"TA","Republic of Tatarstan",""
"ROS","Rostov Oblast",""
"RYA","Ryazan Oblast",""
"SA","Sakha Republic",""
"SAK","Sakhalin Oblast",""
"SAM","Samara Oblast",""
"SAR","Saratov Oblast",""
"SMO","Smolensk Oblast",""
"SPE","St. Petersburg",""
"STA","Stavropol Krai",""
"SVE","Sverdlovsk Oblast",""
"TAM","Tambov Oblast",""
"TAY","Taymyr Autonomous Okrug",""
"TOM","Tomsk Oblas",""
"TUL","Tula Oblast",""
"TVE","Tver Oblast",""
"TYU","Tyumen Oblast",""
"TY","Tyva Republic",""
"UD","Udmurtia",""
"ULY","Ulyanovsk Oblast",""
"UOB","Ust-Orda Buryat Okrug",""
"VLA","Vladimir Oblast",""
"VGG","Volgograd Oblast",""
"VLG","Vologda Oblast",""
"VOR","Voronezh Oblast",""
"YAN","Yamalo-Nenets Autonomous Okrug",""
"YAR","Yaroslavl Oblast",""
"ZAB","Zabaykalsky Krai",""
